state,statefip,county,countyfip,tract,18under1990,18under2000,18under2010,18under2020,18over1990,18over2000,18over2010,18over2020,housing1990,housing2000,housing2010,housing2020,poptract1990,poptract2000,poptract2010,poptract2020,hl1990,hl2000,hl2010,hl2020,white1990,white2000,white2010,white2020,black1990,black2000,black2010,black2020,aian1990,aian2000,aian2010,aian2020,asian1990,asian2000,asian2010,asian2020,nhpi1990,nhpi2000,nhpi2010,nhpi2020,gqi1990,gqi2000,gqi2010,gqi2020,gqni1990,gqni2000,gqni2010,gqni2020
California,6,Nevada County,57,103,1792.31,1850,1725,1349,5067.62,5673,6168,6594,2723.97,2977,3447,3572,6859.93,7523,7893,7943,292,288,461,672,6679.93,7172,7402,6819,5,15,25,33,43,44,62,74,76,45,93,130,3,3,7,19,0,0,0,0,0,0,0,0
California,6,San Bernardino County,71,103,1453.88,1560.89,1141,973.82,3363.21,3613.6,3599,3668.93,1690.26,1839.02,1707,1722.53,4817.09,5174.48,4740,4642.75,918.26,1218.82,1267,1116.13,2883.63,2529.59,2047,1144.35,417.48,440.23,310,280.19,21.73,29.55,24,28.13,1062.34,1386.89,1682,2148.4,24.35,10,17,5.84,0,0,2,0,0,0,0,0
California,6,Santa Barbara County,83,103,566.97,622,628,539,2535.87,2462,2568,2832,1247.93,1241,1348,1382,3102.84,3084,3196,3371,190.99,200,291,389,2960.85,2854,2892,2690,11,10,7,10,18,16,11,10,61,98,129,165,2,0,3,3,13,0,0,0,14,13,0,16
California,6,Butte County,7,104,883.88,1558,1430,1348.31,2552.86,3940,4206,4829,1411.12,2273,2465,2615.97,3436.74,5498,5636,6177.31,208.33,672,951,1190.81,3229.25,4474,4356,4282.3,41.46,74,111,116,29.96,73,71,92.09,59.37,283,322,369.81,6,2,6,47,104.71,6,0,63,0,79,32,38
California,6,Del Norte County,15,104,394.46,385.7,503,597,977.81,1044.45,1378,1484,598.37,712.5,835,860,1372.27,1430.15,1881,2081,97.34,168.27,445,443,1212.61,1168.72,1337,1350,8.38,8.09,10,27,85.94,68.2,161,119,28.38,33.33,46,88,0,0,12,10,0,0,0,0,15,0,51,62
California,6,Madera County,39,104,867,935,882,781,3191,3727,3891,3554,1932,2297,2426,2262,4058,4662,4773,4335,195,315,643,712,3805,4117,4293,3384,15,17,27,9,148,145,121,128,21,33,70,85,4,10,5,8,57,0,0,0,26,6,0,0
California,6,Monterey County,53,104,605.51,1016.04,963,948,1633.51,2253.31,2515,2831,749.85,922.86,984,1003,2239.02,3269.36,3478,3779,731.26,1467.38,2239,2749,1687.36,1897.34,1616,1039,51.3,64.93,70,71,36.98,51.15,43,108,259.11,328.56,289,281,5.61,18.46,14,14,36.22,53.44,0,0,0,27.36,26,22
California,6,Nevada County,57,104,510,647,462,500,2298,2709,2728,2905,1314,1544,1653,1717,2808,3356,3190,3405,74,134,192,253,2762,3199,3002,2954,6,8,10,13,22,23,33,29,5,16,22,51,0,11,3,2,0,6,0,0,9,0,0,0
California,6,San Bernardino County,71,104,1582.42,1907.67,1425,1206.18,3316.62,4241.15,4692,4564.07,1617.9,1770.7,1898,1904.47,4899.04,6148.82,6117,5770.25,934.59,1326.36,1572,1423.87,2843.96,2792.43,2489,1250.65,386.2,402.95,366,240.81,25.93,16.45,21,18.87,1212.54,2127.42,2495,2933.6,8.74,10,9,24.16,70.41,0,0,0,0,0,0,0
California,6,Del Norte County,15,105,1953.13,2242.3,1740,1699,4105.79,4994.55,5227,5449,2462.19,2834.5,2939,2956,6058.92,7236.85,6967,7148,360.66,585.73,817,1079,5456.51,5891.28,5427,4826,17.62,34.91,31,34,308.13,451.8,414,456,151.62,277.67,349,266,14,6,5,11,0,83,76,75,18,16,5,32
